GEO_ID,NAME,P003001,P003002,P003003,P003004,P003005,P003006,P003007,P003008
Geography,Geographic Area Name,Total,Total!!White alone,Total!!Black or African American alone,Total!!American Indian and Alaska Native alone,Total!!Asian alone,Total!!Native Hawaiian and Other Pacific Islander alone,Total!!Some Other Race alone,Total!!Two or More Races
1400000US06085503123,"Census Tract 5031.23, Santa Clara County, California",3585,1694,426,93,437,9,686,240
1400000US06085503204,"Census Tract 5032.04, Santa Clara County, California",8175,2582,295,98,2583,56,2205,356
1400000US06085503207,"Census Tract 5032.07, Santa Clara County, California",3938,613,107,25,2700,31,348,114
1400000US06085503208,"Census Tract 5032.08, Santa Clara County, California",3985,1242,142,53,909,30,1396,213
1400000US06085503210,"Census Tract 5032.10, Santa Clara County, California",4453,1168,116,33,2001,15,952,168
1400000US06085503211,"Census Tract 5032.11, Santa Clara County, California",4744,1158,113,37,2268,23,993,152
1400000US06085503212,"Census Tract 5032.12, Santa Clara County, California",4058,853,123,64,2276,11,617,114
1400000US06085503213,"Census Tract 5032.13, Santa Clara County, California",4494,944,112,24,2574,4,698,138
1400000US06085503214,"Census Tract 5032.14, Santa Clara County, California",7253,1479,137,63,4018,32,1266,258
1400000US06085503217,"Census Tract 5032.17, Santa Clara County, California",4512,1348,163,62,1132,23,1628,156
1400000US06085503218,"Census Tract 5032.18, Santa Clara County, California",4471,1686,101,48,683,4,1720,229
1400000US06085503304,"Census Tract 5033.04, Santa Clara County, California",6916,1602,212,62,3116,32,1575,317
1400000US06085503305,"Census Tract 5033.05, Santa Clara County, California",6069,1286,115,64,2722,14,1619,249
1400000US06085503306,"Census Tract 5033.06, Santa Clara County, California",4311,1470,73,71,1333,33,1162,169
1400000US06085503312,"Census Tract 5033.12, Santa Clara County, California",3365,1392,170,25,907,16,656,199
1400000US06085503313,"Census Tract 5033.13, Santa Clara County, California",4582,1332,147,33,2330,4,510,226
1400000US06085503315,"Census Tract 5033.15, Santa Clara County, California",7481,1581,278,70,3772,26,1348,406
1400000US06085503321,"Census Tract 5033.21, Santa Clara County, California",4658,458,67,25,3683,25,298,102
1400000US06085503322,"Census Tract 5033.22, Santa Clara County, California",4173,1241,252,49,1639,13,827,152
1400000US06085503323,"Census Tract 5033.23, Santa Clara County, California",4688,1121,173,15,2329,32,809,209
1400000US06085503324,"Census Tract 5033.24, Santa Clara County, California",3543,495,90,21,2449,24,339,125
1400000US06085503325,"Census Tract 5033.25, Santa Clara County, California",4448,1049,154,42,2443,13,563,184
1400000US06085503326,"Census Tract 5033.26, Santa Clara County, California",6650,861,99,17,5129,19,325,200
1400000US06085503327,"Census Tract 5033.27, Santa Clara County, California",4712,1584,168,18,1956,15,759,212
1400000US06085503329,"Census Tract 5033.29, Santa Clara County, California",3461,759,89,5,2261,9,186,152
1400000US06085503330,"Census Tract 5033.30, Santa Clara County, California",7618,1053,135,22,5892,13,214,289
1400000US06085503331,"Census Tract 5033.31, Santa Clara County, California",3173,1641,119,27,1014,16,217,139
1400000US06085503332,"Census Tract 5033.32, Santa Clara County, California",5363,3705,66,17,1227,10,143,195
1400000US06085503333,"Census Tract 5033.33, Santa Clara County, California",4585,1384,197,22,2195,17,549,221
1400000US06085503334,"Census Tract 5033.34, Santa Clara County, California",8854,2756,183,1,5282,14,212,406
1400000US06085503336,"Census Tract 5033.36, Santa Clara County, California",3492,712,95,43,1782,20,711,129
1400000US06085503337,"Census Tract 5033.37, Santa Clara County, California",3772,616,145,21,2313,10,512,155
1400000US06085503401,"Census Tract 5034.01, Santa Clara County, California",4915,1663,94,48,637,82,2203,188
1400000US06085503402,"Census Tract 5034.02, Santa Clara County, California",5263,1559,225,24,1191,39,2023,202
1400000US06085503504,"Census Tract 5035.04, Santa Clara County, California",6463,1945,133,73,985,18,3008,301
1400000US06085503506,"Census Tract 5035.06, Santa Clara County, California",6432,1891,168,111,1629,16,2302,315
1400000US06085503507,"Census Tract 5035.07, Santa Clara County, California",2182,636,67,38,309,54,993,85
1400000US06085503508,"Census Tract 5035.08, Santa Clara County, California",6219,2312,132,60,954,39,2422,300
1400000US06085503509,"Census Tract 5035.09, Santa Clara County, California",4040,1389,100,69,1000,36,1228,218
1400000US06085503510,"Census Tract 5035.10, Santa Clara County, California",5968,2158,100,70,749,31,2572,288
1400000US06085503511,"Census Tract 5035.11, Santa Clara County, California",3665,803,71,36,1558,14,998,185
1400000US06085503601,"Census Tract 5036.01, Santa Clara County, California",2992,1520,51,36,463,10,746,166
1400000US06085503602,"Census Tract 5036.02, Santa Clara County, California",4741,1635,145,59,1357,13,1344,188
1400000US06085503703,"Census Tract 5037.03, Santa Clara County, California",4271,1081,99,59,937,7,1925,163
1400000US06085503707,"Census Tract 5037.07, Santa Clara County, California",5462,1342,151,60,2287,32,1347,243
1400000US06085503708,"Census Tract 5037.08, Santa Clara County, California",2725,434,74,17,1820,12,241,127
1400000US06085503709,"Census Tract 5037.09, Santa Clara County, California",5088,693,74,45,3062,26,1052,136
1400000US06085503710,"Census Tract 5037.10, Santa Clara County, California",3599,1035,96,53,784,16,1395,220
