GEO_ID,NAME,H1_001N
Geography,Geographic Area Name, !!Total
1400000US06085503332,Census Tract 5033.32; Santa Clara County; California,2622
1400000US06085503333,Census Tract 5033.33; Santa Clara County; California,1358
1400000US06085503336,Census Tract 5033.36; Santa Clara County; California,838
1400000US06085503337,Census Tract 5033.37; Santa Clara County; California,1011
1400000US06085503338,Census Tract 5033.38; Santa Clara County; California,1350
1400000US06085503339,Census Tract 5033.39; Santa Clara County; California,1308
1400000US06085503401,Census Tract 5034.01; Santa Clara County; California,1005
1400000US06085503402,Census Tract 5034.02; Santa Clara County; California,1188
1400000US06085503504,Census Tract 5035.04; Santa Clara County; California,1138
1400000US06085503506,Census Tract 5035.06; Santa Clara County; California,1253
1400000US06085503507,Census Tract 5035.07; Santa Clara County; California,426
1400000US06085503508,Census Tract 5035.08; Santa Clara County; California,1326
1400000US06085503509,Census Tract 5035.09; Santa Clara County; California,875
1400000US06085503510,Census Tract 5035.10; Santa Clara County; California,1371
1400000US06085503511,Census Tract 5035.11; Santa Clara County; California,834
1400000US06085503601,Census Tract 5036.01; Santa Clara County; California,912
1400000US06085503602,Census Tract 5036.02; Santa Clara County; California,1322
1400000US06085503703,Census Tract 5037.03; Santa Clara County; California,873
1400000US06085503707,Census Tract 5037.07; Santa Clara County; California,1423
1400000US06085503708,Census Tract 5037.08; Santa Clara County; California,751
1400000US06085503709,Census Tract 5037.09; Santa Clara County; California,2377
1400000US06085503710,Census Tract 5037.10; Santa Clara County; California,1120
1400000US06085503711,Census Tract 5037.11; Santa Clara County; California,1086
1400000US06085503712,Census Tract 5037.12; Santa Clara County; California,1376
1400000US06085503713,Census Tract 5037.13; Santa Clara County; California,1120
1400000US06085503802,Census Tract 5038.02; Santa Clara County; California,2314
1400000US06085503803,Census Tract 5038.03; Santa Clara County; California,1362
1400000US06085503804,Census Tract 5038.04; Santa Clara County; California,1810
1400000US06085503902,Census Tract 5039.02; Santa Clara County; California,1658
1400000US06085503903,Census Tract 5039.03; Santa Clara County; California,906
1400000US06085504001,Census Tract 5040.01; Santa Clara County; California,1576
1400000US06085504002,Census Tract 5040.02; Santa Clara County; California,1429
1400000US06085504101,Census Tract 5041.01; Santa Clara County; California,1095
1400000US06085504102,Census Tract 5041.02; Santa Clara County; California,1379
1400000US06085504201,Census Tract 5042.01; Santa Clara County; California,1740
1400000US06085504202,Census Tract 5042.02; Santa Clara County; California,1548
1400000US06085504307,Census Tract 5043.07; Santa Clara County; California,1773
1400000US06085504308,Census Tract 5043.08; Santa Clara County; California,1505
1400000US06085504311,Census Tract 5043.11; Santa Clara County; California,3280
1400000US06085504314,Census Tract 5043.14; Santa Clara County; California,1322
1400000US06085504315,Census Tract 5043.15; Santa Clara County; California,1975
1400000US06085504316,Census Tract 5043.16; Santa Clara County; California,1406
1400000US06085504317,Census Tract 5043.17; Santa Clara County; California,1238
1400000US06085504318,Census Tract 5043.18; Santa Clara County; California,2225
1400000US06085504319,Census Tract 5043.19; Santa Clara County; California,2397
1400000US06085504320,Census Tract 5043.20; Santa Clara County; California,845
1400000US06085504321,Census Tract 5043.21; Santa Clara County; California,1648
1400000US06085504322,Census Tract 5043.22; Santa Clara County; California,2156
1400000US06085504323,Census Tract 5043.23; Santa Clara County; California,1832
1400000US06085504410,Census Tract 5044.10; Santa Clara County; California,1259
1400000US06085504411,Census Tract 5044.11; Santa Clara County; California,1537
1400000US06085504412,Census Tract 5044.12; Santa Clara County; California,1290
1400000US06085504413,Census Tract 5044.13; Santa Clara County; California,701
1400000US06085504414,Census Tract 5044.14; Santa Clara County; California,1513
1400000US06085504415,Census Tract 5044.15; Santa Clara County; California,1532
1400000US06085504416,Census Tract 5044.16; Santa Clara County; California,1097
1400000US06085504418,Census Tract 5044.18; Santa Clara County; California,1329
1400000US06085504421,Census Tract 5044.21; Santa Clara County; California,1346
1400000US06085504422,Census Tract 5044.22; Santa Clara County; California,1025
1400000US06085504423,Census Tract 5044.23; Santa Clara County; California,655
1400000US06085504424,Census Tract 5044.24; Santa Clara County; California,1506
1400000US06085504505,Census Tract 5045.05; Santa Clara County; California,4035
1400000US06085504506,Census Tract 5045.06; Santa Clara County; California,2381
1400000US06085504507,Census Tract 5045.07; Santa Clara County; California,1711
1400000US06085504508,Census Tract 5045.08; Santa Clara County; California,714
1400000US06085504509,Census Tract 5045.09; Santa Clara County; California,2225
1400000US06085504510,Census Tract 5045.10; Santa Clara County; California,1538
1400000US06085504601,Census Tract 5046.01; Santa Clara County; California,367
1400000US06085504602,Census Tract 5046.02; Santa Clara County; California,616
1400000US06085504700,Census Tract 5047; Santa Clara County; California,191
1400000US06085504802,Census Tract 5048.02; Santa Clara County; California,1853
1400000US06085504805,Census Tract 5048.05; Santa Clara County; California,3220
1400000US06085504806,Census Tract 5048.06; Santa Clara County; California,783
1400000US06085504807,Census Tract 5048.07; Santa Clara County; California,2835
1400000US06085504808,Census Tract 5048.08; Santa Clara County; California,655
1400000US06085504902,Census Tract 5049.02; Santa Clara County; California,1796
1400000US06085504903,Census Tract 5049.03; Santa Clara County; California,2326
1400000US06085505006,Census Tract 5050.06; Santa Clara County; California,5929
1400000US06085505007,Census Tract 5050.07; Santa Clara County; California,1002
1400000US06085505010,Census Tract 5050.10; Santa Clara County; California,1407
1400000US06085505011,Census Tract 5050.11; Santa Clara County; California,2206
1400000US06085505012,Census Tract 5050.12; Santa Clara County; California,1594
1400000US06085505013,Census Tract 5050.13; Santa Clara County; California,2757
1400000US06085505014,Census Tract 5050.14; Santa Clara County; California,2699
1400000US06085505015,Census Tract 5050.15; Santa Clara County; California,1793
1400000US06085505100,Census Tract 5051; Santa Clara County; California,2247
1400000US06085505202,Census Tract 5052.02; Santa Clara County; California,3598
1400000US06085505203,Census Tract 5052.03; Santa Clara County; California,1573
1400000US06085505301,Census Tract 5053.01; Santa Clara County; California,2126
1400000US06085505302,Census Tract 5053.02; Santa Clara County; California,1781
1400000US06085505303,Census Tract 5053.03; Santa Clara County; California,2271
1400000US06085505304,Census Tract 5053.04; Santa Clara County; California,1108
1400000US06085505305,Census Tract 5053.05; Santa Clara County; California,2302
1400000US06085505401,Census Tract 5054.01; Santa Clara County; California,2801
1400000US06085505402,Census Tract 5054.02; Santa Clara County; California,1155
1400000US06085505403,Census Tract 5054.03; Santa Clara County; California,3615
1400000US06085505500,Census Tract 5055; Santa Clara County; California,1637
1400000US06085505600,Census Tract 5056; Santa Clara County; California,1553
1400000US06085505700,Census Tract 5057; Santa Clara County; California,2403
1400000US06085505800,Census Tract 5058; Santa Clara County; California,1656
1400000US06085505901,Census Tract 5059.01; Santa Clara County; California,1583
1400000US06085505902,Census Tract 5059.02; Santa Clara County; California,1875
1400000US06085506000,Census Tract 5060; Santa Clara County; California,1953
1400000US06085506101,Census Tract 5061.01; Santa Clara County; California,1736
1400000US06085506102,Census Tract 5061.02; Santa Clara County; California,1879
1400000US06085506103,Census Tract 5061.03; Santa Clara County; California,1714
1400000US06085506202,Census Tract 5062.02; Santa Clara County; California,2625
1400000US06085506203,Census Tract 5062.03; Santa Clara County; California,2823
1400000US06085506204,Census Tract 5062.04; Santa Clara County; California,2178
1400000US06085506301,Census Tract 5063.01; Santa Clara County; California,2479
1400000US06085506302,Census Tract 5063.02; Santa Clara County; California,2826
1400000US06085506304,Census Tract 5063.04; Santa Clara County; California,2285
1400000US06085506305,Census Tract 5063.05; Santa Clara County; California,2613
1400000US06085506401,Census Tract 5064.01; Santa Clara County; California,2397
1400000US06085506402,Census Tract 5064.02; Santa Clara County; California,2314
1400000US06085506502,Census Tract 5065.02; Santa Clara County; California,2326
1400000US06085506503,Census Tract 5065.03; Santa Clara County; California,3038
1400000US06085506504,Census Tract 5065.04; Santa Clara County; California,995
1400000US06085506505,Census Tract 5065.05; Santa Clara County; California,1607
1400000US06085506601,Census Tract 5066.01; Santa Clara County; California,1770
