GEO_ID,NAME,B25001_001M,B25001_001E
Geography,Geographic Area Name,Margin of Error!!Total,Estimate!!Total
1400000US06085503332,"Census Tract 5033.32, Santa Clara County, California",34,2584
1400000US06085503333,"Census Tract 5033.33, Santa Clara County, California",29,1336
1400000US06085503334,"Census Tract 5033.34, Santa Clara County, California",39,2686
1400000US06085503336,"Census Tract 5033.36, Santa Clara County, California",22,876
1400000US06085503337,"Census Tract 5033.37, Santa Clara County, California",19,985
1400000US06085503401,"Census Tract 5034.01, Santa Clara County, California",21,961
1400000US06085503402,"Census Tract 5034.02, Santa Clara County, California",29,1192
1400000US06085503504,"Census Tract 5035.04, Santa Clara County, California",54,1159
1400000US06085503506,"Census Tract 5035.06, Santa Clara County, California",25,1309
1400000US06085503507,"Census Tract 5035.07, Santa Clara County, California",21,359
1400000US06085503508,"Census Tract 5035.08, Santa Clara County, California",25,1304
1400000US06085503509,"Census Tract 5035.09, Santa Clara County, California",37,886
1400000US06085503510,"Census Tract 5035.10, Santa Clara County, California",36,1405
1400000US06085503511,"Census Tract 5035.11, Santa Clara County, California",16,848
1400000US06085503601,"Census Tract 5036.01, Santa Clara County, California",19,967
1400000US06085503602,"Census Tract 5036.02, Santa Clara County, California",30,1273
1400000US06085503703,"Census Tract 5037.03, Santa Clara County, California",24,912
1400000US06085503707,"Census Tract 5037.07, Santa Clara County, California",26,1468
1400000US06085503708,"Census Tract 5037.08, Santa Clara County, California",19,744
1400000US06085503709,"Census Tract 5037.09, Santa Clara County, California",47,1443
1400000US06085503710,"Census Tract 5037.10, Santa Clara County, California",78,924
1400000US06085503711,"Census Tract 5037.11, Santa Clara County, California",43,1033
1400000US06085503712,"Census Tract 5037.12, Santa Clara County, California",51,1304
1400000US06085503713,"Census Tract 5037.13, Santa Clara County, California",62,1127
1400000US06085503802,"Census Tract 5038.02, Santa Clara County, California",63,2328
1400000US06085503803,"Census Tract 5038.03, Santa Clara County, California",21,1406
1400000US06085503804,"Census Tract 5038.04, Santa Clara County, California",56,1550
1400000US06085503902,"Census Tract 5039.02, Santa Clara County, California",80,1485
1400000US06085503903,"Census Tract 5039.03, Santa Clara County, California",30,928
1400000US06085504001,"Census Tract 5040.01, Santa Clara County, California",54,1613
1400000US06085504002,"Census Tract 5040.02, Santa Clara County, California",28,1389
1400000US06085504101,"Census Tract 5041.01, Santa Clara County, California",45,1042
1400000US06085504102,"Census Tract 5041.02, Santa Clara County, California",50,1391
1400000US06085504201,"Census Tract 5042.01, Santa Clara County, California",73,1739
1400000US06085504202,"Census Tract 5042.02, Santa Clara County, California",72,1550
1400000US06085504307,"Census Tract 5043.07, Santa Clara County, California",33,1760
1400000US06085504308,"Census Tract 5043.08, Santa Clara County, California",63,1490
1400000US06085504311,"Census Tract 5043.11, Santa Clara County, California",37,2400
1400000US06085504314,"Census Tract 5043.14, Santa Clara County, California",28,1350
1400000US06085504315,"Census Tract 5043.15, Santa Clara County, California",26,2029
1400000US06085504316,"Census Tract 5043.16, Santa Clara County, California",26,1442
1400000US06085504317,"Census Tract 5043.17, Santa Clara County, California",26,1240
1400000US06085504318,"Census Tract 5043.18, Santa Clara County, California",99,1491
1400000US06085504319,"Census Tract 5043.19, Santa Clara County, California",36,1970
1400000US06085504320,"Census Tract 5043.20, Santa Clara County, California",24,848
1400000US06085504321,"Census Tract 5043.21, Santa Clara County, California",31,1598
1400000US06085504322,"Census Tract 5043.22, Santa Clara County, California",36,2047
1400000US06085504323,"Census Tract 5043.23, Santa Clara County, California",35,1833
1400000US06085504410,"Census Tract 5044.10, Santa Clara County, California",31,1252
1400000US06085504411,"Census Tract 5044.11, Santa Clara County, California",25,1567
1400000US06085504412,"Census Tract 5044.12, Santa Clara County, California",42,1347
1400000US06085504413,"Census Tract 5044.13, Santa Clara County, California",33,711
1400000US06085504414,"Census Tract 5044.14, Santa Clara County, California",48,1508
1400000US06085504415,"Census Tract 5044.15, Santa Clara County, California",53,1593
1400000US06085504416,"Census Tract 5044.16, Santa Clara County, California",37,1134
1400000US06085504417,"Census Tract 5044.17, Santa Clara County, California",55,105
1400000US06085504418,"Census Tract 5044.18, Santa Clara County, California",59,1334
1400000US06085504420,"Census Tract 5044.20, Santa Clara County, California",65,1416
1400000US06085504421,"Census Tract 5044.21, Santa Clara County, California",41,1396
1400000US06085504422,"Census Tract 5044.22, Santa Clara County, California",38,1049
1400000US06085504423,"Census Tract 5044.23, Santa Clara County, California",24,663
1400000US06085504504,"Census Tract 5045.04, Santa Clara County, California",88,2456
1400000US06085504505,"Census Tract 5045.05, Santa Clara County, California",36,1187
1400000US06085504506,"Census Tract 5045.06, Santa Clara County, California",85,2316
1400000US06085504507,"Census Tract 5045.07, Santa Clara County, California",55,1701
1400000US06085504601,"Census Tract 5046.01, Santa Clara County, California",101,539
1400000US06085504602,"Census Tract 5046.02, Santa Clara County, California",42,519
1400000US06085504700,"Census Tract 5047, Santa Clara County, California",67,103
1400000US06085504802,"Census Tract 5048.02, Santa Clara County, California",59,1815
1400000US06085504803,"Census Tract 5048.03, Santa Clara County, California",46,2607
1400000US06085504805,"Census Tract 5048.05, Santa Clara County, California",69,2355
1400000US06085504806,"Census Tract 5048.06, Santa Clara County, California",21,803
1400000US06085504901,"Census Tract 5049.01, Santa Clara County, California",145,3548
1400000US06085505001,"Census Tract 5050.01, Santa Clara County, California",91,3588
1400000US06085505006,"Census Tract 5050.06, Santa Clara County, California",25,1969
1400000US06085505007,"Census Tract 5050.07, Santa Clara County, California",27,1016
1400000US06085505008,"Census Tract 5050.08, Santa Clara County, California",64,2598
1400000US06085505009,"Census Tract 5050.09, Santa Clara County, California",42,2419
1400000US06085505100,"Census Tract 5051, Santa Clara County, California",27,1410
1400000US06085505202,"Census Tract 5052.02, Santa Clara County, California",110,2208
1400000US06085505203,"Census Tract 5052.03, Santa Clara County, California",50,1260
1400000US06085505301,"Census Tract 5053.01, Santa Clara County, California",39,1384
1400000US06085505302,"Census Tract 5053.02, Santa Clara County, California",56,1469
1400000US06085505303,"Census Tract 5053.03, Santa Clara County, California",58,2245
1400000US06085505304,"Census Tract 5053.04, Santa Clara County, California",35,1104
1400000US06085505305,"Census Tract 5053.05, Santa Clara County, California",74,2158
1400000US06085505401,"Census Tract 5054.01, Santa Clara County, California",91,2567
1400000US06085505402,"Census Tract 5054.02, Santa Clara County, California",46,1182
1400000US06085505403,"Census Tract 5054.03, Santa Clara County, California",65,2791
1400000US06085505500,"Census Tract 5055, Santa Clara County, California",49,1648
1400000US06085505600,"Census Tract 5056, Santa Clara County, California",55,1368
1400000US06085505700,"Census Tract 5057, Santa Clara County, California",77,2431
1400000US06085505800,"Census Tract 5058, Santa Clara County, California",22,1607
1400000US06085505900,"Census Tract 5059, Santa Clara County, California",102,3128
1400000US06085506000,"Census Tract 5060, Santa Clara County, California",53,1905
1400000US06085506101,"Census Tract 5061.01, Santa Clara County, California",49,1751
1400000US06085506102,"Census Tract 5061.02, Santa Clara County, California",43,1644
1400000US06085506103,"Census Tract 5061.03, Santa Clara County, California",48,1724
1400000US06085506202,"Census Tract 5062.02, Santa Clara County, California",81,2584
1400000US06085506203,"Census Tract 5062.03, Santa Clara County, California",42,2525
1400000US06085506204,"Census Tract 5062.04, Santa Clara County, California",38,2181
1400000US06085506301,"Census Tract 5063.01, Santa Clara County, California",49,2491
1400000US06085506302,"Census Tract 5063.02, Santa Clara County, California",70,2512
1400000US06085506304,"Census Tract 5063.04, Santa Clara County, California",64,2188
1400000US06085506305,"Census Tract 5063.05, Santa Clara County, California",49,2641
1400000US06085506401,"Census Tract 5064.01, Santa Clara County, California",43,2071
1400000US06085506402,"Census Tract 5064.02, Santa Clara County, California",38,2335
1400000US06085506501,"Census Tract 5065.01, Santa Clara County, California",36,2618
1400000US06085506502,"Census Tract 5065.02, Santa Clara County, California",97,2031
1400000US06085506503,"Census Tract 5065.03, Santa Clara County, California",93,2767
1400000US06085506601,"Census Tract 5066.01, Santa Clara County, California",33,1782
1400000US06085506603,"Census Tract 5066.03, Santa Clara County, California",26,1428
1400000US06085506604,"Census Tract 5066.04, Santa Clara County, California",36,2675
1400000US06085506605,"Census Tract 5066.05, Santa Clara County, California",34,1595
1400000US06085506606,"Census Tract 5066.06, Santa Clara County, California",53,1710
1400000US06085506701,"Census Tract 5067.01, Santa Clara County, California",50,1402
1400000US06085506702,"Census Tract 5067.02, Santa Clara County, California",81,2161
1400000US06085506703,"Census Tract 5067.03, Santa Clara County, California",55,1457
1400000US06085506801,"Census Tract 5068.01, Santa Clara County, California",86,2265
1400000US06085506802,"Census Tract 5068.02, Santa Clara County, California",65,1899
1400000US06085506803,"Census Tract 5068.03, Santa Clara County, California",70,2428
1400000US06085506804,"Census Tract 5068.04, Santa Clara County, California",41,1384
1400000US06085506900,"Census Tract 5069, Santa Clara County, California",75,2750
1400000US06085507001,"Census Tract 5070.01, Santa Clara County, California",138,3225
1400000US06085507002,"Census Tract 5070.02, Santa Clara County, California",39,1088
1400000US06085507100,"Census Tract 5071, Santa Clara County, California",83,1333
