"GEO_ID","NAME","P001001",
"Geography","Geographic Area Name","Total",
"1400000US06085503336","Census Tract 5033.36, Santa Clara County, California","3492",
"1400000US06085503337","Census Tract 5033.37, Santa Clara County, California","3772",
"1400000US06085503401","Census Tract 5034.01, Santa Clara County, California","4915",
"1400000US06085503402","Census Tract 5034.02, Santa Clara County, California","5263",
"1400000US06085503504","Census Tract 5035.04, Santa Clara County, California","6463",
"1400000US06085503506","Census Tract 5035.06, Santa Clara County, California","6432",
"1400000US06085503507","Census Tract 5035.07, Santa Clara County, California","2182",
"1400000US06085503508","Census Tract 5035.08, Santa Clara County, California","6219",
"1400000US06085503509","Census Tract 5035.09, Santa Clara County, California","4040",
"1400000US06085503510","Census Tract 5035.10, Santa Clara County, California","5968",
"1400000US06085503511","Census Tract 5035.11, Santa Clara County, California","3665",
"1400000US06085503601","Census Tract 5036.01, Santa Clara County, California","2992",
"1400000US06085503602","Census Tract 5036.02, Santa Clara County, California","4741",
"1400000US06085503703","Census Tract 5037.03, Santa Clara County, California","4271",
"1400000US06085503707","Census Tract 5037.07, Santa Clara County, California","5462",
"1400000US06085503708","Census Tract 5037.08, Santa Clara County, California","2725",
"1400000US06085503709","Census Tract 5037.09, Santa Clara County, California","5088",
"1400000US06085503710","Census Tract 5037.10, Santa Clara County, California","3599",
"1400000US06085503711","Census Tract 5037.11, Santa Clara County, California","4763",
"1400000US06085503712","Census Tract 5037.12, Santa Clara County, California","4108",
"1400000US06085503713","Census Tract 5037.13, Santa Clara County, California","2974",
"1400000US06085503802","Census Tract 5038.02, Santa Clara County, California","7884",
"1400000US06085503803","Census Tract 5038.03, Santa Clara County, California","4477",
"1400000US06085503804","Census Tract 5038.04, Santa Clara County, California","4980",
"1400000US06085503902","Census Tract 5039.02, Santa Clara County, California","5440",
"1400000US06085503903","Census Tract 5039.03, Santa Clara County, California","3301",
"1400000US06085504001","Census Tract 5040.01, Santa Clara County, California","6017",
"1400000US06085504002","Census Tract 5040.02, Santa Clara County, California","5875",
"1400000US06085504101","Census Tract 5041.01, Santa Clara County, California","4273",
"1400000US06085504102","Census Tract 5041.02, Santa Clara County, California","5480",
"1400000US06085504201","Census Tract 5042.01, Santa Clara County, California","4779",
"1400000US06085504202","Census Tract 5042.02, Santa Clara County, California","4530",
"1400000US06085504307","Census Tract 5043.07, Santa Clara County, California","5563",
"1400000US06085504308","Census Tract 5043.08, Santa Clara County, California","4415",
"1400000US06085504311","Census Tract 5043.11, Santa Clara County, California","7062",
"1400000US06085504314","Census Tract 5043.14, Santa Clara County, California","4753",
