"GEO_ID","NAME","H001001",
"Geography","Geographic Area Name","Total",
"1500000US060855020013","Block Group 3, Census Tract 5020.01, Santa Clara County, California","445",
"1500000US060855020014","Block Group 4, Census Tract 5020.01, Santa Clara County, California","793",
"1500000US060855020021","Block Group 1, Census Tract 5020.02, Santa Clara County, California","294",
"1500000US060855020022","Block Group 2, Census Tract 5020.02, Santa Clara County, California","516",
"1500000US060855020023","Block Group 3, Census Tract 5020.02, Santa Clara County, California","843",
"1500000US060855021011","Block Group 1, Census Tract 5021.01, Santa Clara County, California","612",
"1500000US060855021012","Block Group 2, Census Tract 5021.01, Santa Clara County, California","336",
"1500000US060855021013","Block Group 3, Census Tract 5021.01, Santa Clara County, California","1040",
"1500000US060855021021","Block Group 1, Census Tract 5021.02, Santa Clara County, California","774",
"1500000US060855021022","Block Group 2, Census Tract 5021.02, Santa Clara County, California","917",
"1500000US060855021023","Block Group 3, Census Tract 5021.02, Santa Clara County, California","609",
"1500000US060855021024","Block Group 4, Census Tract 5021.02, Santa Clara County, California","404",
"1500000US060855022011","Block Group 1, Census Tract 5022.01, Santa Clara County, California","1504",
"1500000US060855022012","Block Group 2, Census Tract 5022.01, Santa Clara County, California","1328",
"1500000US060855022021","Block Group 1, Census Tract 5022.02, Santa Clara County, California","788",
"1500000US060855022022","Block Group 2, Census Tract 5022.02, Santa Clara County, California","367",
"1500000US060855022023","Block Group 3, Census Tract 5022.02, Santa Clara County, California","306",
"1500000US060855023011","Block Group 1, Census Tract 5023.01, Santa Clara County, California","666",
"1500000US060855023012","Block Group 2, Census Tract 5023.01, Santa Clara County, California","723",
"1500000US060855023021","Block Group 1, Census Tract 5023.02, Santa Clara County, California","574",
"1500000US060855023022","Block Group 2, Census Tract 5023.02, Santa Clara County, California","729",
"1500000US060855024001","Block Group 1, Census Tract 5024, Santa Clara County, California","285",
"1500000US060855024002","Block Group 2, Census Tract 5024, Santa Clara County, California","300",
"1500000US060855024003","Block Group 3, Census Tract 5024, Santa Clara County, California","292",
"1500000US060855024004","Block Group 4, Census Tract 5024, Santa Clara County, California","388",
"1500000US060855024005","Block Group 5, Census Tract 5024, Santa Clara County, California","665",
"1500000US060855024006","Block Group 6, Census Tract 5024, Santa Clara County, California","652",
"1500000US060855024007","Block Group 7, Census Tract 5024, Santa Clara County, California","339",
"1500000US060855025001","Block Group 1, Census Tract 5025, Santa Clara County, California","403",
"1500000US060855025002","Block Group 2, Census Tract 5025, Santa Clara County, California","402",
"1500000US060855025003","Block Group 3, Census Tract 5025, Santa Clara County, California","447",
"1500000US060855025004","Block Group 4, Census Tract 5025, Santa Clara County, California","439",
"1500000US060855025005","Block Group 5, Census Tract 5025, Santa Clara County, California","350",
"1500000US060855025006","Block Group 6, Census Tract 5025, Santa Clara County, California","484",
"1500000US060855026011","Block Group 1, Census Tract 5026.01, Santa Clara County, California","300",
"1500000US060855026012","Block Group 2, Census Tract 5026.01, Santa Clara County, California","322",
"1500000US060855026013","Block Group 3, Census Tract 5026.01, Santa Clara County, California","637",
"1500000US060855026031","Block Group 1, Census Tract 5026.03, Santa Clara County, California","342",
"1500000US060855026032","Block Group 2, Census Tract 5026.03, Santa Clara County, California","319",
"1500000US060855026033","Block Group 3, Census Tract 5026.03, Santa Clara County, California","397",
"1500000US060855026041","Block Group 1, Census Tract 5026.04, Santa Clara County, California","1023",
"1500000US060855026042","Block Group 2, Census Tract 5026.04, Santa Clara County, California","849",
"1500000US060855026043","Block Group 3, Census Tract 5026.04, Santa Clara County, California","467",
"1500000US060855027011","Block Group 1, Census Tract 5027.01, Santa Clara County, California","679",
"1500000US060855027012","Block Group 2, Census Tract 5027.01, Santa Clara County, California","632",
"1500000US060855027013","Block Group 3, Census Tract 5027.01, Santa Clara County, California","709",
"1500000US060855027021","Block Group 1, Census Tract 5027.02, Santa Clara County, California","1083",
"1500000US060855027022","Block Group 2, Census Tract 5027.02, Santa Clara County, California","713",
"1500000US060855027023","Block Group 3, Census Tract 5027.02, Santa Clara County, California","415",
"1500000US060855027024","Block Group 4, Census Tract 5027.02, Santa Clara County, California","499",
"1500000US060855027025","Block Group 5, Census Tract 5027.02, Santa Clara County, California","547",
"1500000US060855028001","Block Group 1, Census Tract 5028, Santa Clara County, California","453",
"1500000US060855028002","Block Group 2, Census Tract 5028, Santa Clara County, California","576",
"1500000US060855028003","Block Group 3, Census Tract 5028, Santa Clara County, California","384",
"1500000US060855029011","Block Group 1, Census Tract 5029.01, Santa Clara County, California","508",
"1500000US060855029012","Block Group 2, Census Tract 5029.01, Santa Clara County, California","570",
"1500000US060855029013","Block Group 3, Census Tract 5029.01, Santa Clara County, California","377",
"1500000US060855029014","Block Group 4, Census Tract 5029.01, Santa Clara County, California","831",
"1500000US060855029021","Block Group 1, Census Tract 5029.02, Santa Clara County, California","827",
"1500000US060855029022","Block Group 2, Census Tract 5029.02, Santa Clara County, California","888",
"1500000US060855029023","Block Group 3, Census Tract 5029.02, Santa Clara County, California","1001",
"1500000US060855029031","Block Group 1, Census Tract 5029.03, Santa Clara County, California","817",
"1500000US060855029032","Block Group 2, Census Tract 5029.03, Santa Clara County, California","539",
"1500000US060855029033","Block Group 3, Census Tract 5029.03, Santa Clara County, California","606",
"1500000US060855029061","Block Group 1, Census Tract 5029.06, Santa Clara County, California","510",
"1500000US060855029062","Block Group 2, Census Tract 5029.06, Santa Clara County, California","616",
"1500000US060855029063","Block Group 3, Census Tract 5029.06, Santa Clara County, California","529",
"1500000US060855029071","Block Group 1, Census Tract 5029.07, Santa Clara County, California","674",
"1500000US060855029072","Block Group 2, Census Tract 5029.07, Santa Clara County, California","665",
"1500000US060855029081","Block Group 1, Census Tract 5029.08, Santa Clara County, California","836",
"1500000US060855029082","Block Group 2, Census Tract 5029.08, Santa Clara County, California","958",
"1500000US060855029083","Block Group 3, Census Tract 5029.08, Santa Clara County, California","619",
