"GEO_ID","NAME","H001001",
"Geography","Geographic Area Name","Total",
"1400000US06085503336","Census Tract 5033.36, Santa Clara County, California","867",
"1400000US06085503337","Census Tract 5033.37, Santa Clara County, California","948",
"1400000US06085503401","Census Tract 5034.01, Santa Clara County, California","946",
"1400000US06085503402","Census Tract 5034.02, Santa Clara County, California","1184",
"1400000US06085503504","Census Tract 5035.04, Santa Clara County, California","1197",
"1400000US06085503506","Census Tract 5035.06, Santa Clara County, California","1259",
"1400000US06085503507","Census Tract 5035.07, Santa Clara County, California","380",
"1400000US06085503508","Census Tract 5035.08, Santa Clara County, California","1268",
"1400000US06085503509","Census Tract 5035.09, Santa Clara County, California","872",
"1400000US06085503510","Census Tract 5035.10, Santa Clara County, California","1340",
"1400000US06085503511","Census Tract 5035.11, Santa Clara County, California","831",
"1400000US06085503601","Census Tract 5036.01, Santa Clara County, California","891",
"1400000US06085503602","Census Tract 5036.02, Santa Clara County, California","1285",
"1400000US06085503703","Census Tract 5037.03, Santa Clara County, California","899",
"1400000US06085503707","Census Tract 5037.07, Santa Clara County, California","1404",
"1400000US06085503708","Census Tract 5037.08, Santa Clara County, California","735",
"1400000US06085503709","Census Tract 5037.09, Santa Clara County, California","1403",
"1400000US06085503710","Census Tract 5037.10, Santa Clara County, California","959",
"1400000US06085503711","Census Tract 5037.11, Santa Clara County, California","1006",
"1400000US06085503712","Census Tract 5037.12, Santa Clara County, California","1357",
"1400000US06085503713","Census Tract 5037.13, Santa Clara County, California","1122",
"1400000US06085503802","Census Tract 5038.02, Santa Clara County, California","2295",
"1400000US06085503803","Census Tract 5038.03, Santa Clara County, California","1365",
"1400000US06085503804","Census Tract 5038.04, Santa Clara County, California","1605",
"1400000US06085503902","Census Tract 5039.02, Santa Clara County, California","1490",
"1400000US06085503903","Census Tract 5039.03, Santa Clara County, California","920",
"1400000US06085504001","Census Tract 5040.01, Santa Clara County, California","1514",
"1400000US06085504002","Census Tract 5040.02, Santa Clara County, California","1367",
"1400000US06085504101","Census Tract 5041.01, Santa Clara County, California","1036",
"1400000US06085504102","Census Tract 5041.02, Santa Clara County, California","1342",
"1400000US06085504201","Census Tract 5042.01, Santa Clara County, California","1706",
"1400000US06085504202","Census Tract 5042.02, Santa Clara County, California","1538",
"1400000US06085504307","Census Tract 5043.07, Santa Clara County, California","1754",
"1400000US06085504308","Census Tract 5043.08, Santa Clara County, California","1500",
"1400000US06085504311","Census Tract 5043.11, Santa Clara County, California","2355",
"1400000US06085504314","Census Tract 5043.14, Santa Clara County, California","1309",
"1400000US06085504315","Census Tract 5043.15, Santa Clara County, California","1966",
"1400000US06085504316","Census Tract 5043.16, Santa Clara County, California","1401",
"1400000US06085504317","Census Tract 5043.17, Santa Clara County, California","1222",
"1400000US06085504318","Census Tract 5043.18, Santa Clara County, California","1662",
"1400000US06085504319","Census Tract 5043.19, Santa Clara County, California","2017",
"1400000US06085504320","Census Tract 5043.20, Santa Clara County, California","844",
"1400000US06085504321","Census Tract 5043.21, Santa Clara County, California","1552",
"1400000US06085504322","Census Tract 5043.22, Santa Clara County, California","2116",
"1400000US06085504323","Census Tract 5043.23, Santa Clara County, California","1835",
"1400000US06085504410","Census Tract 5044.10, Santa Clara County, California","1221",
"1400000US06085504411","Census Tract 5044.11, Santa Clara County, California","1535",
"1400000US06085504412","Census Tract 5044.12, Santa Clara County, California","1297",
"1400000US06085504413","Census Tract 5044.13, Santa Clara County, California","692",
"1400000US06085504414","Census Tract 5044.14, Santa Clara County, California","1509",
"1400000US06085504415","Census Tract 5044.15, Santa Clara County, California","1530",
"1400000US06085504416","Census Tract 5044.16, Santa Clara County, California","1089",
"1400000US06085504417","Census Tract 5044.17, Santa Clara County, California","116",
"1400000US06085504418","Census Tract 5044.18, Santa Clara County, California","1323",
"1400000US06085504420","Census Tract 5044.20, Santa Clara County, California","1383",
"1400000US06085504421","Census Tract 5044.21, Santa Clara County, California","1344",
"1400000US06085504422","Census Tract 5044.22, Santa Clara County, California","1015",
"1400000US06085504423","Census Tract 5044.23, Santa Clara County, California","654",
"1400000US06085504504","Census Tract 5045.04, Santa Clara County, California","2749",
"1400000US06085504505","Census Tract 5045.05, Santa Clara County, California","1310",
"1400000US06085504506","Census Tract 5045.06, Santa Clara County, California","2169",
"1400000US06085504507","Census Tract 5045.07, Santa Clara County, California","1694",
"1400000US06085504601","Census Tract 5046.01, Santa Clara County, California","365",
"1400000US06085504602","Census Tract 5046.02, Santa Clara County, California","637",
"1400000US06085504700","Census Tract 5047, Santa Clara County, California","188",
"1400000US06085504802","Census Tract 5048.02, Santa Clara County, California","1813",
"1400000US06085504803","Census Tract 5048.03, Santa Clara County, California","2548",
"1400000US06085504805","Census Tract 5048.05, Santa Clara County, California","2375",
"1400000US06085504806","Census Tract 5048.06, Santa Clara County, California","779",
"1400000US06085504901","Census Tract 5049.01, Santa Clara County, California","4176",
"1400000US06085505001","Census Tract 5050.01, Santa Clara County, California","3713",
"1400000US06085505006","Census Tract 5050.06, Santa Clara County, California","2008",
"1400000US06085505007","Census Tract 5050.07, Santa Clara County, California","995",
"1400000US06085505008","Census Tract 5050.08, Santa Clara County, California","2771",
"1400000US06085505009","Census Tract 5050.09, Santa Clara County, California","2403",
"1400000US06085505100","Census Tract 5051, Santa Clara County, California","1481",
"1400000US06085505202","Census Tract 5052.02, Santa Clara County, California","2297",
"1400000US06085505203","Census Tract 5052.03, Santa Clara County, California","1533",
"1400000US06085505301","Census Tract 5053.01, Santa Clara County, California","1373",
"1400000US06085505302","Census Tract 5053.02, Santa Clara County, California","1475",
"1400000US06085505303","Census Tract 5053.03, Santa Clara County, California","2198",
"1400000US06085505304","Census Tract 5053.04, Santa Clara County, California","1096",
"1400000US06085505305","Census Tract 5053.05, Santa Clara County, California","2108",
"1400000US06085505401","Census Tract 5054.01, Santa Clara County, California","2557",
"1400000US06085505402","Census Tract 5054.02, Santa Clara County, California","1160",
"1400000US06085505403","Census Tract 5054.03, Santa Clara County, California","2775",
"1400000US06085505500","Census Tract 5055, Santa Clara County, California","1647",
"1400000US06085505600","Census Tract 5056, Santa Clara County, California","1348",
"1400000US06085505700","Census Tract 5057, Santa Clara County, California","2420",
"1400000US06085505800","Census Tract 5058, Santa Clara County, California","1597",
"1400000US06085505900","Census Tract 5059, Santa Clara County, California","3187",
"1400000US06085506000","Census Tract 5060, Santa Clara County, California","1905",
"1400000US06085506101","Census Tract 5061.01, Santa Clara County, California","1738",
"1400000US06085506102","Census Tract 5061.02, Santa Clara County, California","1606",
"1400000US06085506103","Census Tract 5061.03, Santa Clara County, California","1702",
"1400000US06085506202","Census Tract 5062.02, Santa Clara County, California","2637",
"1400000US06085506203","Census Tract 5062.03, Santa Clara County, California","2532",
"1400000US06085506204","Census Tract 5062.04, Santa Clara County, California","2169",
"1400000US06085506301","Census Tract 5063.01, Santa Clara County, California","2428",
"1400000US06085506302","Census Tract 5063.02, Santa Clara County, California","2559",
"1400000US06085506304","Census Tract 5063.04, Santa Clara County, California","2160",
"1400000US06085506305","Census Tract 5063.05, Santa Clara County, California","2591",
"1400000US06085506401","Census Tract 5064.01, Santa Clara County, California","2162",
"1400000US06085506402","Census Tract 5064.02, Santa Clara County, California","2331",
"1400000US06085506501","Census Tract 5065.01, Santa Clara County, California","2596",
"1400000US06085506502","Census Tract 5065.02, Santa Clara County, California","2040",
"1400000US06085506503","Census Tract 5065.03, Santa Clara County, California","2751",
"1400000US06085506601","Census Tract 5066.01, Santa Clara County, California","1770",
"1400000US06085506603","Census Tract 5066.03, Santa Clara County, California","1421",
"1400000US06085506604","Census Tract 5066.04, Santa Clara County, California","2645",
"1400000US06085506605","Census Tract 5066.05, Santa Clara County, California","1578",
"1400000US06085506606","Census Tract 5066.06, Santa Clara County, California","1704",
"1400000US06085506701","Census Tract 5067.01, Santa Clara County, California","1381",
"1400000US06085506702","Census Tract 5067.02, Santa Clara County, California","2143",
"1400000US06085506703","Census Tract 5067.03, Santa Clara County, California","1470",
"1400000US06085506801","Census Tract 5068.01, Santa Clara County, California","2311",
"1400000US06085506802","Census Tract 5068.02, Santa Clara County, California","1947",
"1400000US06085506803","Census Tract 5068.03, Santa Clara County, California","2466",
"1400000US06085506804","Census Tract 5068.04, Santa Clara County, California","1372",
"1400000US06085506900","Census Tract 5069, Santa Clara County, California","2740",
"1400000US06085507001","Census Tract 5070.01, Santa Clara County, California","3290",
"1400000US06085507002","Census Tract 5070.02, Santa Clara County, California","1079",
"1400000US06085507100","Census Tract 5071, Santa Clara County, California","1377",
"1400000US06085507203","Census Tract 5072.03, Santa Clara County, California","1203",
"1400000US06085507205","Census Tract 5072.05, Santa Clara County, California","1961",
"1400000US06085507206","Census Tract 5072.06, Santa Clara County, California","1036",
"1400000US06085507301","Census Tract 5073.01, Santa Clara County, California","2553",
"1400000US06085507302","Census Tract 5073.02, Santa Clara County, California","1091",
"1400000US06085507401","Census Tract 5074.01, Santa Clara County, California","1947",
"1400000US06085507402","Census Tract 5074.02, Santa Clara County, California","1524",
"1400000US06085507500","Census Tract 5075, Santa Clara County, California","2047",
"1400000US06085507600","Census Tract 5076, Santa Clara County, California","2065",
"1400000US06085507701","Census Tract 5077.01, Santa Clara County, California","1397",
"1400000US06085507702","Census Tract 5077.02, Santa Clara County, California","2091",
"1400000US06085507703","Census Tract 5077.03, Santa Clara County, California","2812",
"1400000US06085507805","Census Tract 5078.05, Santa Clara County, California","2191",
"1400000US06085507806","Census Tract 5078.06, Santa Clara County, California","2039",
"1400000US06085507807","Census Tract 5078.07, Santa Clara County, California","1053",
"1400000US06085507808","Census Tract 5078.08, Santa Clara County, California","1822",
"1400000US06085507903","Census Tract 5079.03, Santa Clara County, California","1634",
"1400000US06085507904","Census Tract 5079.04, Santa Clara County, California","1114",
"1400000US06085507905","Census Tract 5079.05, Santa Clara County, California","2211",
"1400000US06085507906","Census Tract 5079.06, Santa Clara County, California","1449",
"1400000US06085508001","Census Tract 5080.01, Santa Clara County, California","2853",
"1400000US06085508003","Census Tract 5080.03, Santa Clara County, California","763",
"1400000US06085508004","Census Tract 5080.04, Santa Clara County, California","2176",
"1400000US06085508101","Census Tract 5081.01, Santa Clara County, California","2364",
"1400000US06085508102","Census Tract 5081.02, Santa Clara County, California","1310",
"1400000US06085508202","Census Tract 5082.02, Santa Clara County, California","2893",
"1400000US06085508203","Census Tract 5082.03, Santa Clara County, California","1847",
"1400000US06085508204","Census Tract 5082.04, Santa Clara County, California","1497",
"1400000US06085508301","Census Tract 5083.01, Santa Clara County, California","1567",
"1400000US06085508303","Census Tract 5083.03, Santa Clara County, California","927",
"1400000US06085508304","Census Tract 5083.04, Santa Clara County, California","3088",
"1400000US06085508401","Census Tract 5084.01, Santa Clara County, California","2612",
"1400000US06085508403","Census Tract 5084.03, Santa Clara County, California","1079",
"1400000US06085508404","Census Tract 5084.04, Santa Clara County, California","2370",
"1400000US06085508503","Census Tract 5085.03, Santa Clara County, California","2935",
"1400000US06085508504","Census Tract 5085.04, Santa Clara County, California","3321",
"1400000US06085508505","Census Tract 5085.05, Santa Clara County, California","2024",
"1400000US06085508507","Census Tract 5085.07, Santa Clara County, California","1415",
