"GEO_ID","NAME","S1903_C01_001E","S1903_C01_001M","S1903_C02_001E","S1903_C02_001M","S1903_C01_002E","S1903_C01_002M","S1903_C02_002E","S1903_C02_002M","S1903_C01_003E","S1903_C01_003M","S1903_C02_003E","S1903_C02_003M","S1903_C01_004E","S1903_C01_004M","S1903_C02_004E","S1903_C02_004M","S1903_C01_005E","S1903_C01_005M","S1903_C02_005E","S1903_C02_005M","S1903_C01_006E","S1903_C01_006M","S1903_C02_006E","S1903_C02_006M","S1903_C01_007E","S1903_C01_007M","S1903_C02_007E","S1903_C02_007M","S1903_C01_008E","S1903_C01_008M","S1903_C02_008E","S1903_C02_008M","S1903_C01_009E","S1903_C01_009M","S1903_C02_009E","S1903_C02_009M","S1903_C01_010E","S1903_C01_010M","S1903_C02_010E","S1903_C02_010M","S1903_C01_012E","S1903_C01_012M","S1903_C02_012E","S1903_C02_012M","S1903_C01_013E","S1903_C01_013M","S1903_C02_013E","S1903_C02_013M","S1903_C01_014E","S1903_C01_014M","S1903_C02_014E","S1903_C02_014M","S1903_C01_015E","S1903_C01_015M","S1903_C02_015E","S1903_C02_015M","S1903_C01_016E","S1903_C01_016M","S1903_C02_016E","S1903_C02_016M","S1903_C01_017E","S1903_C01_017M","S1903_C02_017E","S1903_C02_017M","S1903_C01_018E","S1903_C01_018M","S1903_C02_018E","S1903_C02_018M","S1903_C01_019E","S1903_C01_019M","S1903_C02_019E","S1903_C02_019M","S1903_C01_020E","S1903_C01_020M","S1903_C02_020E","S1903_C02_020M","S1903_C01_021E","S1903_C01_021M","S1903_C02_021E","S1903_C02_021M","S1903_C01_022E","S1903_C01_022M","S1903_C02_022E","S1903_C02_022M","S1903_C01_023E","S1903_C01_023M","S1903_C02_023E","S1903_C02_023M","S1903_C01_024E","S1903_C01_024M","S1903_C02_024E","S1903_C02_024M","S1903_C01_025E","S1903_C01_025M","S1903_C02_025E","S1903_C02_025M","S1903_C01_026E","S1903_C01_026M","S1903_C02_026E","S1903_C02_026M","S1903_C01_027E","S1903_C01_027M","S1903_C02_027E","S1903_C02_027M","S1903_C01_028E","S1903_C01_028M","S1903_C02_028E","S1903_C02_028M","S1903_C01_029E","S1903_C01_029M","S1903_C02_029E","S1903_C02_029M","S1903_C01_030E","S1903_C01_030M","S1903_C02_030E","S1903_C02_030M","S1903_C01_031E","S1903_C01_031M","S1903_C02_031E","S1903_C02_031M",
"1400000US06085512038","Census Tract 5120.38, Santa Clara County, California","1074","76","88013","15838","59.8","9.5","87969","22845","8.1","6.5","61979","93421","0.0","3.7","-","-222222222","23.6","5.6","108322","13488","0.0","3.7","-","-222222222","8.0","6.1","85313","63484","0.6","1.7","-","-222222222","19.6","10.0","48958","20303","48.1","10.4","93911","26001","5.5","5.3","54485","48000","35.7","10.7","89297","22961","45.3","8.3","94750","38606","13.5","5.4","43688","104899","784","99","85992","26600","40.2","11.4","62697","18083","59.8","11.4","110156","13532","69.1","12.0","108487","20157","20.2","9.8","61806","33756","10.7","8.5","37266","7400","290","82","89609","18050","57.6","18.7","89141","62737","50.3","19.3","89844","75387","7.2","11.1","44250","67226","42.4","18.7","92540","16623","42.4","18.7","92540","16623","0.0","12.9","-","-222222222","27.6","-888888888.0","(X)","-888888888","33.7","-888888888.0","(X)","(X)","11.0","-888888888.0","(X)","(X)",
"1400000US06085512039","Census Tract 5120.39, Santa Clara County, California","1361","48","123405","12379","45.1","9.9","106250","32831","8.9","6.4","140699","76319","0.0","2.9","-","-222222222","31.6","6.4","133333","17624","0.0","2.9","-","-222222222","12.7","7.6","118750","53887","1.7","2.8","-","-222222222","25.9","6.3","125192","54684","32.0","8.9","100964","33823","0.0","2.9","-","-222222222","41.1","7.1","119890","26343","47.0","7.9","135380","17215","12.0","6.0","36953","61396","1190","90","118556","9309","51.8","10.5","120240","9231","48.2","10.5","112188","29094","80.2","10.5","125714","13907","15.8","9.0","102885","47757","4.0","6.1","-","**","171","78","92054","89836","61.4","28.8","92054","75899","61.4","28.8","92054","75899","0.0","20.7","-","-222222222","38.6","28.8","100000","231198","19.3","20.9","19926","22187","19.3","22.1","250,000+","-333333333","27.9","-888888888.0","(X)","-888888888","24.5","-888888888.0","(X)","(X)","36.3","-888888888.0","(X)","(X)",
"1400000US06085512042","Census Tract 5120.42, Santa Clara County, California","816","67","80625","20504","44.7","10.9","100268","27216","7.6","7.3","38636","68830","1.2","2.1","-","-222222222","36.0","9.1","85536","44321","0.0","4.8","-","-222222222","7.6","7.1","65179","85499","2.8","3.3","80104","95277","34.2","10.8","79856","31056","20.3","8.1","101607","86256","12.4","7.5","14550","91415","37.0","9.5","104018","23029","39.6","10.6","77125","24402","11.0","5.9","99688","49710","720","96","81250","28814","53.6","12.4","75417","26781","46.4","12.4","93750","29620","71.3","11.3","104583","18505","17.2","10.4","37955","26542","11.5","8.6","70677","40124","96","71","7000","41325","55.2","41.2","6893","81708","55.2","41.2","6893","81708","0.0","32.7","-","-222222222","44.8","41.2","7150","104322","26.0","37.9","-","-222222222","18.8","26.0","90250","56396","38.2","-888888888.0","(X)","-888888888","33.6","-888888888.0","(X)","(X)","72.9","-888888888.0","(X)","(X)",
"1400000US06085512043","Census Tract 5120.43, Santa Clara County, California","1644","50","41500","7308","41.3","9.5","44417","21383","10.1","5.2","40500","54345","0.8","1.5","-","-222222222","23.4","4.8","47989","34730","0.0","2.4","-","-222222222","18.0","7.9","42734","11325","6.4","4.7","16989","1618","49.3","6.0","38313","6958","13.9","6.4","73900","16182","3.3","3.4","19871","16411","52.5","6.5","47788","15657","32.8","5.7","43700","2446","11.3","4.8","25152","6189","1544","72","40500","7446","67.7","7.3","37578","8695","32.3","7.3","47083","23537","56.3","9.0","47772","15377","33.9","9.7","23397","8482","9.8","6.6","55781","21945","100","53","24196","7487","79.0","22.4","28125","9904","64.0","30.1","30536","7014","15.0","25.1","-","-222222222","21.0","22.4","-","-222222222","21.0","22.4","-","-222222222","0.0","31.7","-","-222222222","39.1","-888888888.0","(X)","-888888888","39.1","-888888888.0","(X)","(X)","38.0","-888888888.0","(X)","(X)",
"1400000US06085512045","Census Tract 5120.45, Santa Clara County, California","1838","40","102375","13105","79.5","5.6","96652","4714","0.7","0.7","136250","198284","0.8","1.1","-","-222222222","11.8","3.8","138438","17784","0.0","2.1","-","-222222222","6.1","4.1","101250","88620","1.3","1.5","109712","32373","21.1","4.7","92500","20685","66.3","6.1","97167","6562","0.7","0.9","-","-222222222","32.3","6.0","127791","21426","51.5","6.1","103571","16128","15.6","3.0","43571","15586","1494","100","105250","14274","40.8","5.7","118723","18330","59.2","5.7","96490","6252","89.2","5.0","110214","10235","5.4","3.9","95980","25286","5.5","3.0","95909","31487","344","94","80400","45540","50.3","19.0","20179","40277","48.3","19.3","19583","37462","2.0","3.3","-","-222222222","49.7","19.0","84659","36515","32.3","15.1","83523","55967","17.4","14.9","103636","66641","25.6","-888888888.0","(X)","-888888888","23.8","-888888888.0","(X)","(X)","30.5","-888888888.0","(X)","(X)",
"1400000US06085512047","Census Tract 5120.47, Santa Clara County, California","1730","50","99219","8681","77.7","6.1","97383","13473","3.7","3.7","113140","31627","1.6","1.3","60441","70900","8.6","3.3","101042","8207","0.0","2.3","-","-222222222","5.5","4.3","87045","90180","2.8","4.1","-","-222222222","18.1","6.0","96172","24779","65.8","5.9","94850","15461","2.4","2.8","6553","42578","37.1","4.5","111339","19105","36.9","4.9","107407","13677","23.6","4.0","64875","24554","1512","98","99167","7954","46.0","6.5","99167","15415","54.0","6.5","99167","13958","84.9","7.2","104688","6630","10.4","6.2","55932","18749","4.7","4.4","32276","84615","218","88","74773","36903","40.8","20.2","56354","56829","27.5","16.9","25682","35671","13.3","19.2","-","-222222222","59.2","20.2","81023","40101","55.5","19.7","81932","43050","3.7","6.5","-","-222222222","24.5","-888888888.0","(X)","-888888888","21.8","-888888888.0","(X)","(X)","21.1","-888888888.0","(X)","(X)",
"1400000US06085512052","Census Tract 5120.52, Santa Clara County, California","1642","95","75573","17537","71.9","8.9","61477","23422","5.2","4.4","44444","127245","0.0","2.4","-","-222222222","12.1","5.3","171207","42423","0.0","2.4","-","-222222222","8.0","3.9","63287","45138","2.9","2.9","106150","21201","11.4","4.2","62546","41122","68.5","9.2","62386","25517","5.7","5.7","43603","744","44.0","7.4","95057","13709","35.2","5.3","78177","26961","15.1","3.7","30104","11712","1032","123","84674","15249","49.3","9.4","91319","24368","50.7","9.4","83641","16726","76.5","12.4","92411","18615","18.5","10.2","53633","34738","5.0","4.6","33611","117498","610","135","52391","7499","49.7","11.5","53281","13643","39.2","11.3","39554","27484","10.5","9.3","170500","115723","50.3","11.5","51510","41546","29.7","12.3","85363","53853","20.7","12.6","44107","56559","28.1","-888888888.0","(X)","-888888888","33.7","-888888888.0","(X)","(X)","18.5","-888888888.0","(X)","(X)",
"1400000US06085512053","Census Tract 5120.53, Santa Clara County, California","1580","60","79792","7189","65.8","7.3","81526","14686","4.8","3.7","61033","32757","0.8","1.2","-","-222222222","13.8","3.8","99453","46778","0.0","2.5","-","-222222222","8.9","5.0","69539","54241","5.9","4.7","23750","29687","29.6","5.9","66250","15334","50.2","6.0","101797","33873","1.6","1.9","7404","50348","37.2","6.5","72500","25387","50.4","8.8","94524","25661","10.8","5.4","55221","26287","1326","112","79494","5719","49.7","7.6","78750","13081","50.3","7.6","93274","36144","68.2","8.6","97891","35000","24.6","8.6","60163","49276","7.2","5.8","115523","156894","254","101","90862","56024","68.5","20.6","101094","64777","48.8","23.2","119722","148030","19.7","16.1","91429","49529","31.5","20.6","61048","48016","24.0","19.1","60729","102633","7.5","11.4","-","-222222222","23.5","-888888888.0","(X)","-888888888","26.6","-888888888.0","(X)","(X)","6.3","-888888888.0","(X)","(X)",
"1400000US06085512100","Census Tract 5121, Santa Clara County, California","444","60","112955","30181","77.5","7.3","96500","38938","0.0","8.6","-","-222222222","0.0","8.6","-","-222222222","22.5","7.3","138125","36115","0.0","8.6","-","-222222222","0.0","8.6","-","-222222222","0.0","8.6","-","-222222222","20.9","8.3","65923","50190","56.5","8.5","115536","32468","0.0","8.6","-","-222222222","27.7","16.5","95188","72297","57.4","17.4","137634","34294","14.9","8.8","54000","99263","403","56","113125","38315","39.5","16.7","111625","95208","60.5","16.7","113523","35054","89.6","9.4","120865","31845","2.2","3.6","-","**","8.2","9.0","32063","10078","41","33","27083","226435","51.2","41.5","115536","188254","22.0","34.1","-","-222222222","29.3","38.0","117143","283293","48.8","41.5","9423","377109","31.7","43.0","-","-222222222","17.1","28.2","250,000+","-333333333","36.7","-888888888.0","(X)","-888888888","37.0","-888888888.0","(X)","(X)","34.1","-888888888.0","(X)","(X)",
"1400000US06085512200","Census Tract 5122, Santa Clara County, California","1473","111","132321","21394","91.5","3.8","132024","24026","0.7","1.1","-","-222222222","0.0","2.7","-","-222222222","5.2","2.2","149474","205011","0.0","2.7","-","-222222222","0.4","0.8","-","-222222222","2.2","2.2","94205","15970","11.7","5.3","74150","25425","81.9","5.4","142600","22145","0.0","2.7","-","-222222222","27.6","6.0","121389","61862","54.6","6.2","150769","28608","17.9","3.9","92841","48051","1113","118","153295","12849","43.9","7.8","162981","18110","56.1","7.8","132024","22323","95.4","3.0","155500","12740","3.7","2.6","65125","35425","0.9","1.5","250,000+","***","360","101","106389","43107","51.1","18.8","126750","37437","30.6","14.6","121019","59936","20.6","14.3","144800","37891","48.9","18.8","60250","33125","36.1","18.4","52885","16087","12.8","9.0","106944","26785","31.4","-888888888.0","(X)","-888888888","32.7","-888888888.0","(X)","(X)","27.2","-888888888.0","(X)","(X)",
